time_stamp;title;topic
2014-04-15;Germany 's RWE starts reverse-flow natural gas deliveries to Ukraine German company starts gas deliveries to Ukraine;-1
2021-06-18;Total Is Said to Vie With Enel , RWE for RES 's French Wind Assets;0
2008-09-08;German RWE CEO Sees Rise in Electricity, Gas Prices in Long Run - Report;2
2011-09-29;RWE Innogy inaugurates first offshore farm construction ship;0
2009-03-20;German RWE Power to develop thermal storage facility;-1
2009-04-17;RWE , Turkmenistan deal blow to Gazprom;-1
2012-02-10;Change at RWE Dea AG Executive Board;4
2012-01-23;RWE npower to begin offshore work on EUR-2bn wind farm near Wales - report;0
2014-03-17;RWE To Sell Oil & Gas Unit To Billionaire Fridman's L1 Energy In USD7.1 Bln Deal;2
2013-01-21;E.ON, RWE discuss potential sale of Urenco stake;2
2009-02-09;Zenergy Power PLC RWE Hydro Power Contract;0
2009-05-27;"RWE CEO Says New Coal-Fired Projects ""on Hold,"" an Industrial Info News Alert";0
2016-12-27;Profile of Harald Louis Chairman of RWE;-1
2019-07-16;German government in 'advanced' talks with RWE over coal plant closures;-1
2011-10-25;RWE Dea UK installs Breagh Alpha platform in North Sea;-1
2008-05-26;RWE rebuffs allegation it is in default of payment in TGK -2 transaction;-1
2013-01-04;-RWE Generation, An international generation company to strengthen the RWE Group for the future;3
2013-01-01;"US Patent granted to RWE AG on January 01 titled as ""Method and a device for charging electric vehicles""";3
2008-02-19;RWE to invest 20 mln eur to equip households with intelligent electric meters;3
2008-05-15;German RWE Loses 200,000 Clients in Q1 2008;-1
2008-02-21;RENEWABLES - German Repower, RWE Innogy To Negotiate 1,900 MW Contracts;0
2009-11-12;German RWE posts recurrent net profit of EUR 2.87bn in 9-mo 2009;2
2008-11-06;RWE opens pilot algae plant for CO2 conversion;-1
2010-07-19;Gazprom says German RWE not invited to join South Stream;-1
2019-11-15;RWE boosts 2019 guidance, citing reinstatement of UK's backup power scheme;-1
2009-02-16;German RWE Innogy enters into biogas partnership;-1
2011-09-27;RWE opens Twin Data Centre in Neurath, Germany;-1
2008-02-19;Iberdrola declines comment on RWE bid rumour;-1
2012-02-06;ABB , RWE to partner on solutions for electric cars charging infrastructure;3
2014-10-07;-RWE Tower in Essen to be sold to ARC Global Trust;2
2022-06-23;ArcelorMittal partners with RWE to decarbonize steel production in Germany;-1
2012-02-07;RWE Dea secures capacity with Leiv Eiriksson rig in Norway;4
2008-12-02;RWE considering energy projects in Bosnia and Herzegovina;0
2011-06-09;Deal snapshot: BASF TO TAKE RWE 'S 50% IN ZANDVLIET POWER JV;2
2011-09-08;- RWE completes sale of majority shareholding in Amprion;2
2008-02-22;German utility RWE says 2007 profit slipped to €2.6 billion;2
2008-02-14;RWE acquires 50 pct stake in Excelerate Energy for 500 mln usd;2
2017-12-01;RWE AG ST Financial Reports: Annual Report of 2011;2
2022-12-06;"INTERNATIONAL PATENT: RWE RENEWABLES GMBH FILES APPLICATION FOR ""METHOD FOR TRAINING A MACHINE LEARNING MODEL ABLE TO BE USED TO DETERMINE A REMAINING LIFE OF A WIND POWER INSTALLATION""";3
2011-02-08;SAP , RWE Vertrieb agree on future cooperation;2
2011-03-18;RWE [ DAX index] falls in four out of last five days, for a 5-day fall of 4.7%;1
2014-01-29;RWE to write down another EUR 1.5bn on Dutch Essent;2
2017-06-30;Australia: RWE Power Receives Patent for 'Method for processing pit-moist raw brown coal';3
2018-01-05;More focussed and effective: RWE reorganises its conventional generation business;2
2011-01-28;RWE Dea discovers gas in North El Amriya concession;4
2010-11-04;RWE shows interest in 2,400 MW HPP construction in Serbia - report;-1
2008-06-30;RWE says delaying nuclear phase-out would help ease energy prices;-1
2012-02-14;RWE Dea obtains the permit to prepare natural gas production in the Algerian Sahara;4
2018-11-15;Clean Fine Coal Market Future Growth Witnessing High Demand by 2018-2025 by top key Players : Peabody, Arch Coal, Anglo American , RWE AG , BHP Billiton;4
2016-05-12;RWE posts unchanged renewables op profit for Q1 2016;2
2013-11-07;RWE to halve positions in renewable energy unit - report;0
2010-12-03;RWE Innogy launches construction of biomass CHP plant in Scotland;-1
2011-09-29;RWE [ DAX index] rises in strong trading with rising open interest, continues strong weekly and monthly trend;1
2011-04-05;RWE [ DAX index] strengthens 0.1% on high volume rising for a third consecutive day, a three day rise of 3.1%;1
2014-03-12;RWE says not at risk of hostile takeover;-1
2009-02-26;German RWE 2008 net profit down 4.1%;2
2017-09-26;Profile of Martin Herrmann Martin Herrmann of Innogy;-1
2010-09-07;RWE welcomes Germany 's decision on nuclear plant life extension;-1
2015-08-28;RWE may sign partners for 336-MW Galloper wind farm in autumn - report;0
2009-06-04;RWE offers remedies to EU in Essent takeover;-1
2009-03-24;German RWE Dea 2008 after-tax profit at EUR 280m;4
2022-12-27;"RWE ADR (RWEOY: $44.09) strengthens above moving average price; +1c [0.02%] Vol Index 1.3 [1 is avg]";1
2020-09-18;Global Offshore Wind Market Report 2020-2024 Featuring Iberdrola, Vattenfall, RWE AG and Orsted;0
2008-06-04;Albania to decide between ENEL and PPC - RWE JV for new power plant sources;-1
2012-08-13;RWE Dea : Clipper South delivers first gas;4
2008-02-22;RWE FY adjusted net profit up 20.7 pct to 2.97 bln eur on generation, trading;2
2008-11-06;Financial crisis not to burden RWE's oil and gas business;2
2008-07-14;E.ON joins peers in rejecting RWE 's offer to operate joint power grid holding;0
2019-08-08;Innogy head of M&A to leave;-1
2008-04-22;RWE cuts indicative price range for American Water IPO to $22 - $23 - report;2
2011-07-14;RWE [ DAX index] falls in weak trading with rising open interest, weekly trend remains weak;1
2008-07-10;RWE to shut down Biblis A reactor for maintenance during four months in 2009;-1
2017-12-01;RWE AG ST Financial Reports: Annual Report 2013;2
2011-09-20;RWE [ DAX index] rises 3.7% on high volatility and expanding price range;1
2022-11-30;Wednesday November 30, 2022 All You Need to Know About the RWE ADR Today;-1
2017-06-30;Moody's upgrades innogy's bonds to Baa2, stable outlook;2
2021-05-14;Hit from Texas cold snap prompts RWE to revisit hedging strategy, investments;2
2011-02-18;RWE [ DAX index] rises 0.7% on high volume rising for a second consecutive day, a two day rise of 1.0%;1
2008-04-24;RWE Transgas with profit up 56 pct to Kc12.8bn in 2007 Adds info on dividend in para 3.;2
2011-01-06;RWE Innogy moves ahead with offshore wind plans;0
2012-02-22;RWE to sell 19% in VSE to Saarland municipal utilities - report;2
2011-12-16;Weekly: RWE preference weakens below Moving Average Price (MAP), with 50-day MAP trailing 200-day MAP;1
2011-04-20;RWE CEO defends future operation of NPPs - report;2
2008-01-03;Municipal Investors Bundle Stakes in German RWE;2
2011-09-06;RWE completes sale of majority in Amprion;2
2011-05-06;RWE [ DAX index] closes at 3.2% below VWP but at merely 3.5% premium to 52-week low;1
2011-07-14;German utility RWE AG eyes co-operation with Russia 's Gazprom in building new power plants;-1
2012-08-23;RWE fails to reach deal for Suewag with consortium;-1
2008-05-30;Czech RWE Transgas To Hike Gas Price for Households July 2008;-1
2021-03-16;"RWE Posts FY20 Adj. Net Income Above View; Sees Weak Adj. Earnings In FY21; Lifts Dividend";2
2008-09-24;BRIEF- RWE mum on possible talks regarding nuclear-power stations in Britain;3
2014-05-20;- RWE Dea - Algerian Reggane Nord Gas Project entering execution phase;4
2015-05-15;- RWE UK Q1 2015 financial performance, Electricity generation returns to small profit;2
2014-09-17;RWE selects AREVA to supply fuel assemblies for nuclear power plant in Germany;-1
2008-02-01;RWE moves on with restructuring by breaking up RWE Systems unit - report;2
2009-08-13;"Independent Research affirms ""accumulate"" on RWE";2
2018-03-13;"RWE FY17 Adj. EBITDA Rises; Plans Higher Dividend For 2018";2
2008-01-17;German regulator orders EnBW, RWE to cut power transmission prices - report;-1
2008-03-03;RWE receives clearance to build hard-coal plant in Hamm, Germany;0
2011-11-17;RWE [Energy] falls in weak trading with rising open interest, weekly and monthly trend remains weak;1
2017-09-26;Profile of Dr. Bernhard Günther Chief Financial Officer of Innogy;2
2009-11-02;RWE sells parts of nuclear power plant to Egypt - report;4
2008-12-01;Four RWE suppliers to cut gas prices by 5-7% - report;2
2008-04-23;Alstom to Supply Most Advanced Clean Coal Combustion Technology to RWE Power Plant in Germany;-1
2009-02-24;RWE to realign supply, distribution businesses;2
2011-04-21;RWE [ DAX index] drops to one-month low on firm volume;1
2011-08-24;Hague stops coal power plant construction by RWE;-1
2008-05-19;German Regional Utilities Against RWE 's National Water Supplier Notion;4
2011-12-30;RWE preference [Energy] increases 1.6% on weak volume, rising for a second day, a 2-day rise of 3.3%;1
2009-04-13;RWEOY Pays 5.94585 approximate Per Share Record Date 04/22/2009;2
2012-06-20;E.on, RWE may soon agree on lower gas prices with Gazprom - report;2
2008-06-02;RWE 's plans to grow gas business unaffected by sale of gas grid - report;2
2012-10-17;RWE sells 20% licence interest in Norwegian Edvard Grieg oil field to OMV;2
2013-10-21;RWE Dea celebrates 40 years in Norway;4
2013-10-18;RWE reportedly expects offers for DEA unit by late December;4
2011-03-09;RWE Dea receives DECC approval for Clipper South gas field development plan;4
2009-06-10;"""Filling Station of the Future"" - Cooperation Between RWE and APCOA , Europe's Largest Car Park Operator";3
2022-10-26;RWE ( RWE : EUR38.77) offers dividend yield of 2.3%;2
2022-12-05;"RWE ADR (RWEOY: $43.84) down 2.1% in 2 days; -41c [-0.9%]";1
2011-09-26;RWE [ DAX index] advances 7.0% on high volume rising for a second consecutive day, a two day rise of 9.4%;1
2008-07-04;RWE 's Russian TGK -2 acquisition on the brink of collapse - report;2
2012-04-26;RWE Dea makes another gas discovery in the Norwegian Sea;4
2011-12-22;RWE , Gazprom reach no agreement on potential cooperation;-1
2009-08-14;RWE reduces stake in American Water to 30%;0
2015-03-10;RWE guides for higher renewables profits in 2015;0
2022-10-18;"RWE ADR (RWEOY: $38.10) in 2nd consecutive rise; +5c [0.1%] Vol Index 1.4 [1 is avg]";1
2011-08-11;RWE [ DAX index] hits year-low 21st time in three months;1
2008-05-15;German utility RWE 's 1Q profit falls nearly 49 percent on rising costs to euro809 million;2
2017-12-01;RWE AG ST Financial Reports: Annual Report 2015;2
2013-09-24;"Local council turns ""yes"" to ""no"" for RWE's 1.2-GW Atlantic Array";0
2008-04-04;RWE to spend 100 mln eur on new branding over the next three years - report;2
2019-10-01;New RWE bets big on green growth;0
2019-08-20;FPT , RWE continue strategic partnership;2
2022-12-02;RWE ( RWE : EUR42.06) offers earnings yield of 4.8%;2
2012-10-23;Research and Markets: RWE AG Goes Green? The Energiewende and the End of RWE 's Nuclear Ambitions;2
2011-04-07;RWE [ DAX index] rises in strong trading with rising open interest, continues strong weekly trend;1
2012-03-23;RWE Dea Scholarship Program in Music handed out for the 13th time;4
2021-09-10;Activist investor urges Germany 's RWE to exit coal quicker;-1
2009-07-08;RWE completes 41.4 MW wind farm in Poland;0
2022-02-17;"RWE AG Lifts FY22 Earnings View; Stock Up";2
2008-05-23;German RWE Chances for British Energy Rise After Suez Withdrawal;-1
2011-09-29;DGAP-PVR: RWE AG : Release according to Article 26, Section 1 of the WpHG [the;-1
2015-03-03;RWE and MIRA agree to expand partnership;-1
2013-09-27;RWE 's municipal shareholders oppose planned dividend cut - report;2
2013-09-03;RWE receives permits for Innogy Nordsee offshore wind farm 2 and 3;0
2019-08-15;RWE to 'hit the ground running' on renewables after asset swap;0
2010-12-10;At Odds With ETS III: RWE Considers Building Up New Lignite-to-Power Capacity;-1
2019-08-14;FPT, RWE To Prolong Successful Strategic Partnership;2
2009-02-26;RWE CEO expects 2009 results to be in line with 2008;2
2010-03-02;German RWE, Brabus team up for electric car roll-out;3
2019-07-02;E.ON offers concessions to get EU nod for Innogy merger;2
2013-10-07;RWE IT commissions T-Systems with workplace management service;-1
2013-09-30;RWE erects met mast at 14-MW wind project site in UK;0
2009-09-28;USPTO Issues Trademark WTA to RWE Power for Fuel, Electrical Energy;3
2015-07-09;RWE selects Amec Foster Wheeler to supply 550MWe CFB steam generators;0
2021-11-23;Czech utility CEZ to buy German RWE´s subsidiary Belectric;-1
2015-12-04;RWE to triple annual investments in renewables to EUR 1bn - report;2
2012-10-26;RWE , E.ON may announce Horizon disposal deal on 30 October;-1
2017-10-10;RWE AG : Ad-hoc-disclosure according to Art. 17 MAR - Announcement of the volume of hybrid bonds repurchase;2
2013-05-21;- RWE Dea receives Silver Award at WorldMediaFestival;4
2010-01-11;RWE plans to invest EUR 1 bn in 295 MW wind farm project;0
2018-04-20;Australia Patent: RWE Power Files Application for 'Method for operating a steam generator';3
2008-12-30;RWE secures land in UK to possibly build nuclear plant;-1
2011-12-09;RWE preference [Energy] gains 3.6% on firm volume;1
2022-11-01;RWE ( RWE : EUR39.29) - PRE-MARKET CONFIRMATORY BULLISH SIGNAL FROM ITS ADR MARKET Wednesday November 02, 2022 07:11 CET;2
2021-01-01;RWE to sell 51% stake in 4 Texas wind farms to Algonquin unit;0
2010-10-01;RWE Innogy to build 18.7-MW biomass plant in Sicily;-1
2011-03-31;Month to March 31: RWE hits year-low 5th time in nine months;1
2012-12-19;"RWE completes sale of its license interest in ""Edvard Grieg"" OMV takes over 20% of â(EURO)oeEdvard Griegâ(EURO) license interest Important step in RWE AGâ(EURO)(TM)s divestment programme";2
2011-06-22;RWE nearing sale of power grid Amprion;2
2008-02-14;RWE AG agreed to acquire a minority stake in Excelerate Energy LLC;2
2015-07-15;RWE 's Outlook revised to Negative;2
2009-08-14;RWE sells 20 pct stake in American Water;0
2009-08-19;Contract Awards: RWE Westfalen Weser Ems AG Wins Contract for Electricity Services ( Germany );3
2011-12-12;RWE director buys;2
2011-11-21;RWE [Energy] drops 4.4% on high volatility;1
2012-08-27;RWE , Vattenfall Europe heads expect electricity price increase - report;-1
2018-10-10;-Munster Higher Administrative Court, Temporary stop of Hambach Forest clearance by RWE Power;-1
2009-02-09;RWE Power to unveil power barge project;0
2008-05-15;German utility RWE 's 1Q profit falls nearly 49 pct;2
2020-11-20;"INTERNATIONAL PATENT: RWE POWER AG FILES APPLICATION FOR ""METHOD AND DEVICE FOR CLEANING A SURFACE OF A CONVEYOR BELT OF RESIDUES OF RAW MATERIALS AND COVER MATERIAL CONVEYED IN MINING""";3
2009-10-16;European Commission stops cartel probe against RWE;-1
2009-06-05;Deal snapshot: RWE CUTS SHAREHOLDING IN AMERICAN WATER TO 49%;2
2009-10-15;German RWE confirms withdrawal from bidding for Polish Enea;-1
2012-07-27;RWE presses ahead with package of measures Focus remains on reinforcing financial strength despite rating decision Capital measures already completed;2
2014-12-29;RWE finishes turbine installation at 295-MW Nordsee Ost wind park;0
2011-10-27;DGAP-PVR: RWE AG : Release according to Article 26, Section 1 of the WpHG [the;-1
2012-11-07;RWE tries out offshore turbines at Dutch onshore wind park;0
2015-12-10;RWE announces establishment of new subsidiary;-1
2013-01-16;- RWE AG - Commissioning of GAZELLE pipeline improves gas supplies to Czech Republic and EU;-1
2012-03-29;Germany 's E.ON, RWE drop UK nuclear project;3
2014-12-16;RWE Supply & Trading announces management changes;2
2009-11-02;German RWE calls for extending run-time of nuclear reactors - report;-1
2011-10-17;RWE [ DAX index] falls in four out of last five days, for a 5-day fall of 3.7%;1
2020-05-04;RWE sells license for planned 160- MW wind farm in Norway Renewables Now;0
2012-02-15;InterRAO continues talks to buy RWE assets;2
2011-07-28;RWE [ DAX index] falls in weak trading with rising open interest, weekly and monthly trend remains weak;1
2010-06-21;RWE Vertrieb AG - New electricity product offers three years of price stability;2
2018-11-06;RWE pushes back against Norwegian fund over call to ditch coal stocks;-1
2014-04-02;RWE starts construction at Konigshovener Hohe wind farm;0
2013-09-24;- RWE AG - Ad hoc announcement according to Sec 15 WpHG;2
2008-08-12;Norwegian IntelliSearch Wins Three-Year Deal from German RWE Dea;4
2008-05-28;RWE may divest gas pipelines to end dispute with EU - report;-1
2016-02-17;RWE Posts Weak Profit In FY15, Expects Decline In FY16 Earnings;2
2008-02-27;German RWE Will Not Raise Prices in 2008 - CEO;-1
2011-08-25;Australia: RWE Power Receives Patent for 'Method for monitoring the orientation of a band and/or band strips of a belt conveyor device and a belt conveyor device';3
2011-07-27;ANNUAL REPORT: RWE PREFERENCE (RWE3.DE) EPS DOWN 7.5% TO EUR6.2 ($US8.24);2
2018-02-23;German developer innogy to acquire 2 solar farms in Australia;0
2014-10-15;- RWE AG - Dii is entering a new phase;2
2015-11-23;"Swiss Federal Institute of Intellectual Property granted patent to RWE AG on November 18, 2015 titled as ""ELECTRONIC IDENTIFICATION PLATE FOR MEASURING DEVICES""";3
2013-05-29;RWE puts Essent Local Energy Solutions up for sale - report;0
2017-03-14;RWE 's ( RWEOY ) Management on Q4 2016 Results - Earnings Call Transcript;2
2011-09-05;- RWE Dea UK right on track with Breagh and Clipper South field developments;4
2022-10-28;"Weekly: RWE ( RWE : EUR38.77) soars 5.1% on weak volume; +EUR1.87 [5.1%]";1
2008-11-18;RWE mulls over coal-fired power plant in Saxony-Anhalt - report;0
2008-01-28;German RWE Again Subject to Takeover Rumours;-1
2014-01-21;RWE 's head warns of early closure of nuclear plants - report;-1
2018-04-20;- RWE assumes responsibility far beyond its operating business fields;2
2013-09-24;- RWE Adjusts Dividend Policy and Maintains Earnings Outlook for 2013;2
2014-03-06;- RWE posts first net loss in 60 years;2
2011-08-09;Utility RWE 's first half profit down 39 percent;2
2020-07-02;RWE closes asset swap with E.ON in final step of German power sector revamp;-1
2022-10-28;"Weekly: RWE ADR (RWEOY: $38.76) in its biggest weekly gain in 2 months; +$2.27 [6.2%] Vol Index 1.6 [1 is avg]";1
2013-12-31;- RWE AG - PGGM and Dalkia acquire Essent Local Energy Solutions;0
2012-03-20;"US Patent Issued to RWE Power on March 13 for ""Process for the Production of Carbonaceous Adsorption Agents Doped with Elementary Sulfur and a Process for Waste Gas Cleaning Using Such Adsorption Agents"" ( German Inventors)";3
2022-06-14;- RWE names new chief operating officer of RWE Renewables Americas;0
2012-11-01;RWE rises on low volume;1
2011-12-22;RWE completes capital measure;1
2008-02-22;"GERMAN STOCKS: Equinet Keeps ""Hold"" on RWE";-1
2009-11-30;German RWE pledges to cut CO2 emissions - report;-1
2009-07-13;RWE 's acquisition of Essent to close by end-Jul;-1
2011-11-18;Weekly: RWE falls in weak trading with rising open interest, monthly trend remains weak;1
2008-02-01;German RWE To Invest 3.0 Bln Euro in High-Voltage Grid;-1
2011-07-08;RWE [ DAX index] falls in weak trading with rising open interest, weekly trend remains weak;1
2022-10-06;Markus Krebber CEO of RWE in top 17% of price performers of Frankfurt stocks in the third quarter of 2022 Thursday October 06, 2022;2
2022-05-12;"RWE AG Q1 Adjusted Earnings Surge; Confirms FY22 Outlook - Quick Facts";2
2013-04-29;RWE strikes deal with Prosol on storage system supply;-1
2010-11-04;RWE Cancels Hungarian Coal-Fired Project, an Industrial Info News Alert;4
2016-04-07;RWE increases hydropower portfolio in Scotland;0
2013-11-29;THE FRIDAY NOTE: RWE ditches 1.2-GW wind scheme off UK and the rest of the week's top picks;0
2022-01-06;And RWE Announce Partnership To Jointly Develop 1.3 Gigawatt Offshore Wind Cluster off the German Coast;0
2012-01-17;RWE issues new long-term GBP bond;-1
2022-12-26;"Weekly: RWE ADR (RWEOY: $44.08) increases on weak volume; +4c [0.1%]";1
2008-05-06;RWE says new fixed-price offer has slowed down customer losses;-1
2008-04-07;"GERMAN STOCKS: Morgan Stanley Ups Eon to ""Overweight"", RWE Down to ""Equal-Weight""";1
2018-09-11;THE COMPETITION COUNCIL AUTHORISED THE TAKING OVER OF RWE ENERGIE SRL BY MET HOLDING AG , SWITZERLAND;-1
2018-12-17;German Energy Firm Innogy Cuts Outlook After Failed UK Merger With SSE;-1
2013-03-28;RWE sells NET4GAS RWE signs contract with Allianz and Borealis Closing expected to occur in second half of 2013;2
2017-04-14;- RWE backing transparency, Company publishes its 20th sustainability report;2
2011-04-14;RWE [ DAX index] falls in weak trading with rising open interest;1
2009-10-15;German RWE confirms withdrawal Enea tender;-1
2020-01-17;"Germany lays out  40B coal exit plan; RWE accepts deal through gritted teeth";-1
2011-08-08;DGAP-Adhoc: RWE AG : Peter Terium to become Deputy Chairman of the Executive;-1
2020-01-14;Report: RWE to receive  2B to shut German lignite capacity;-1
2013-04-02;- RWE sells NET4GAS;2
2010-07-02;German Ampere sues RWE over green energy back-payments;3
2011-07-20;RWE 's solar thermal power plant Andasol III produces solar generated steam;0
2012-01-31;- RWE Dea - Field development plan for Luno oil field in Norway submitted;4
2013-07-19;Municipal shareholders want new strategy for RWE - report;2
2011-08-15;RWE [ DAX index] rises 0.6% on high volume rising for a third consecutive day, a three day rise of 8.3%;1
2008-05-15;RWE lost 200,000 retail power customers in Germany during the first quarter;-1
2008-12-15;RWE head criticises Brussels climate summit decisions - report;-1
2010-02-25;RWE 2009 net income up nearly 40 pct;2
2015-02-26;- Macquarie Infrastructure and Real Assets to acquire further interest in RWE Grid Holding;2
2015-02-18;ITM Power plc : RWE Power-to-Gas System Delivered Second Generation ITM Power PEM Electrolyser System Deployed;-1
2021-09-10;RWE Wins Two Offshore Wind Leases In Germany;0
2011-05-10;RWE [ DAX index] rises 1.2% on high volatility and expanding price range;1
2012-01-11;RWE ranks 1st in the ESMT innovation index;1
2008-02-25;RWE 's 'A+' rating on negative watch on announced leverage increase - S&P;2
2022-10-07;Freshfields advises RWE on financing of acquisition of Con Edison Clean Energy Businesses and issuance of mandatory convertible bond;3
2015-12-01;DGAP-Adhoc: RWE Aktiengesellschaft: Executive Board resolves pooling of the renewable energy, grids and retail business areas in a new subsidiary and IPO of approximately 10% (english);4
2018-05-09;E.ON Strengthens Management Board Effective June 1, 2018, to Prepare for and Implement Innogy Acquisition;2
2010-04-06;RWE , municipal utilities tie up for EUR 1bn renewable investments;0
2013-11-19;-Optimism at RWE Dea Norge's 40th anniversary;4
